Course ID,Course Subject,Course Number,Course Name,Course Description
47371,ACCO,657,Financial Strategies and Decisions,Please see Graduate Calendar
47372,ACCO,657T,Tutorial in Financial Strategies and Decisions,Please see Graduate Calendar
48073,ACCO,692,Managing After-Tax Returns,Please see Graduate Calendar
48544,ACCO,360,Principles of Auditing,"This course examines the concepts and methods of auditing and how internal and external audits are integrated in a more general corporate governance and risk management framework. The importance of the design and monitoring of effective internal controls is highlighted. The objectives, concepts and methods of auditing are illustrated with examples and short cases. They are also applied to solve simple problems and cases. 
Prerequisite: COMM 305
NOTE: Students who have received credit for ACCO 450 may not take this course for credit."
48619,ACCO,495,HONOURS SEMINAR IN ACCOUNTANCY,"This seminar is offered to students in the Honours in Accountancy program over the course of two terms. In the first term, the seminar surveys accounting history, research methodology and recent research in topics covered in the Accountancy curriculum. In addition, students begin working on a research or case project to be conducted under the supervision of a faculty member. In the second term, students complete their project for submission by the end of the term. Presentation of the project at a poster session or department seminar is also required."
48720,ACCO,600,TUTORIAL IN FINA REP/PRACTICE,Students who have taken ACCO 650T may not take this course for credit.
48817,ACCO,601,TUTORIAL IN FINA REP/COM APP,Students who have taken ACCO 651T may not take this course for credit.
48824,ACCO,602,TUTORIAL IN BUSINESS ADV SER,Students who have taken ACCO 652T may not take this course for credit
48825,ACCO,603,TUTORIAL IN INF SYS/INT.CONT,Students who have taken ACCO 653T may not take this course for credit.
48826,ACCO,604,Tutorial in Assurance and Professional Practice,Students who have taken ACCO 654T may not take this course for credit
48827,ACCO,605,Tutorial in Taxation/Decision making,Students who have taken ACCO 655T may not take this course for credit
48828,ACCO,606,Tutorial in Performance Management,Students who have taken ACCO 656T may not take this course for credit
48829,ACCO,607,Tutorial in Financial Strategies and Decisions,Students who have taken ACCO 657T may not take this course for credit
48830,ACCO,608,Tutorial in Capstone I Seminar,Students who have taken ACCO 658T may not take this course for credit
48831,ACCO,609,Tutorial in Capstone II Examination,Students who have taken ACCO 659T may not take this course for credit
235,ACTU,256,Mathematics of Finance,"Measurement of interest; annuities and perpetuities; amortization and sinking funds; rates of return; bonds and related securities; life insurance.
Prerequisite: MATH 264 previously or concurrently; and permission of the Department.
NOTE: Students who have received credit for MATH 326 may not take this course for credit.
NOTE: Only three credits will be awarded from ACTU 256; MAST 335.


"
236,ACTU,257,Actuarial Mathematics I,"Measurement of mortality; pure endowments; life insurance; net single premiums; life annuities; net annual premiums; special topics.
Prerequisite: ACTU 256.
NOTE: Students who have received credit for MATH 327 may not take this course for credit.



"
237,ACTU,286,Actuarial Mathematics Lab I,"This lab features problem-solving sessions for the professional examination on financial mathematics of the Society of Actuaries and the Casualty Actuarial Society.

NOTE: Students who have received credit for MATH 229 may not take this course for credit.



"
238,ACTU,357,Actuarial Mathematics II,"Net level premium reserves; multiple life functions; multiple decrements, the expense factor; special topics.
Prerequisite: ACTU 257.
NOTE: Students who have received credit for MATH 427 may not take this course for credit.



"
239,ACTU,386,Actuarial Mathematics Lab II,"This lab will feature the use of programming languages and software applications.

NOTE: Students who have received credit for MATH 232 may not take this course for credit.



"
241,ACTU,457,Risk Theory,"Applications of contingency theory in health insurance, individual and collective risk theory, ruin theory.

NOTE: Students who have received credit for MATH 428 may not take this course for credit."
242,ACTU,458,Credibility Theory,"Credibility approach to inference for heterogeneous data; classical, regression and Bayesian models; illustrations with insurance data.
Prerequisite: ACTU 457; STAT 349 previously or concurrently.




"
243,ACTU,459,Loss Distributions,"Probability model fitting to loss data; estimation and testing under variety of procedures and sampling designs.
Prerequisite: ACTU 457; STAT 360.




"
244,ACTU,486,Actuarial Mathematics Lab III,"This lab will be a workshop designed to prepare students for the Actuarial Models examination of the Society of Actuaries and the Casualty Actuarial Society.

NOTE: Students who have received credit for MATH 429 may not take this course for credit.



"
245,ACTU,493,Honours Project in Actuarial Mathematics,"Specific topics for this course, and prerequisites relevant in each case, will be stated in the Undergraduate Class Schedule.





"
46445,ACTU,491,TOPICS/ACTUARIAL MATHEMATICS,Please see UGRD Calendar
46446,ACTU,492,RDG CRS/ACTUARIAL MATHEMAT S,Please see UGRD Calendar
246,ADED,201,Concepts and Principles of Adult Education,"This course consists of an overview of the field of adult education as a field of study with emphasis given to its philosophy, objectives, historical development, and the nature of adult learners. It also examines adult education as a field of practice with emphasis given to methods, techniques, roles, and competencies. This course stresses active student participation and self-directedness.

NOTE: Students who have received credit for ADED 200 may not take this course for credit.



"
247,ADED,202,The Scope and Nature of Adult Education Programs,"This course is designed to help students develop an understanding of the scope and nature of adult education programs. Emphasis is placed on existing programs, and institutions and agencies providing them. The course stresses active student participation and self-directedness.

NOTE: Students who have received credit for ADED 200 may not take this course for credit.



"
248,ADED,220,Adults as Learners,"This course examines the unique physiological, psychological, and sociological characteristics of adults, their influence on adult learning and development, and their implications for educational intervention. Attention is given to changes which occur at various stages of the adult life cycle, and particularly to the dimensions which affect the adult's self-concept and orientation to learning, the motivations, needs, and interests which cause adults to participate in educational activities.





"
253,ADED,344,Design of Adult Learning Projects,"The purpose of this course is to assist participants in developing a clear working concept of various models for planning and designing adult learning projects. To facilitate this understanding, the different steps of the process are closely examined and discussed. Participants are given an opportunity to design and conduct a learning activity in the area of subject matter speciality. A systems approach, including methods for evaluating the design of the learning project is emphasized.

NOTE: Students who have received credit for ADED 340 or 341 or 343 may not take this course for credit.



"
254,ADED,345,Evaluating Adult Learning Projects,"The purpose of this course is to assist participants in developing a clear working concept of various models for assessing the effectiveness of adult learning projects. The course emphasizes a systematic approach to evaluation, techniques for collecting information and providing feedback to program operation and impact. Participants are given the opportunity to conduct an evaluation of an adult learning project in the area of subject matter speciality.

NOTE: Students who have received credit for ADED 342 or 343 may not take this course for credit.



"
257,ADED,403,Diversity in Adults,"It is the role of adult educators (agents of change) to confront issues of diversity and to challenge the forces of racism, sexism, classism, homophobia, and discrimination. By integrating notions of education, and by reflecting on the roles of practitioners, this course develops strategies to resist structural inequality and oppression.

NOTE: Students who have received credit for this topic under an ADED 498 number may not take this course for credit.



"
260,ADED,440,ISSUES IN THE PRACTICE,Please see UGRD Calendar
273,ADED,496,Integrative Internship I,"This internship is designed to assist individual students in achieving a synthesis of their own experiential learning in light of acquired knowledge, skills, values, and attitudes through the clarification of personal aims and the philosophy of adult education. Students will normally enrol in this internship near the end of their program.
Prerequisite: ADED 201; ADED 202 and 15 credits in the program.
NOTE: Students who have received credit for ADED 495 may not take this course for credit.
NOTE: Students will normally enrol in ADED 496 near the end of their program.


"
274,ADED,497,Integrative Internship II,"This internship is designed to extend the personal aims and philosophy of adult education arrived at in Integrative Internship I, and engage in a special project in an adult education facility where supervision is provided by the host institution.
Prerequisite: Successful completion of ADED 496.
NOTE: Students who have received credit for ADED 495 may not take this course for credit."
277,ADED,498C,ADVANCED TOPICS IN ADULT EDUCATION,
46447,ADED,489,SPEC TOPICS  IN ADULT EDUC,Please see UGRD Calendar
46448,ADED,492,SPECIAL TOPICS SEM IN ADED I,Please see UGRD Calendar
46449,ADED,494,SPECIAL TOPIC SEM IN ADED II,Please see UGRD Calendar
46450,ADED,498,ADVANCED TOPICS IN ADED,Please see UGRD Calendar
316,ADIP,500,ADED-QUEBEC AS A FIELD STUDY,Please see GRAD Calendar
317,ADIP,501,PHIL ISSUES IN EDUC RESEARCH,Please see GRAD Calendar
318,ADIP,511,EDUC.PROB/PHILOSOPH.PERSPECT,Please see GRAD Calendar
319,ADIP,512,EDUC.PROB./HIST.PERSPECTIVE,Please see GRAD Calendar
320,ADIP,513,ANTH CONCEPTS & METHODS-EDUC,Please see GRAD Calendar
323,ADIP,520,ADULTS AS LEARNERS,Please see GRAD Calendar
325,ADIP,533,FACILITATING ADULT LEARNING,Please see GRAD Calendar
326,ADIP,540,INTRODUCTION TO RESEARCH,Please see GRAD Calendar
327,ADIP,541,DESIGNING ADULT LRN.PROJECTS,Please see GRAD Calendar
328,ADIP,542,EVAL ADULT LEARNING PROJECTS,Please see GRAD Calendar
329,ADIP,544,SCHOOL AND SOCIETY,Please see GRAD Calendar
333,ADIP,572,CONCEPTS & VALUES IN ADED,Please see GRAD Calendar
337,ADIP,590,ISSUES IN THE PRACTICE,Please see GRAD Calendar
345,ADIP,598,SPECIAL TOPICS IN ADED II,Please see GRAD Calendar
37543,ADIP,597,ADULT EDUCATION I-SELECTED TOPICS,Please see GRAD Calendar
40013,ADIP,535,STUDIES/EDUCATIONAL CHANGE,Please see GRAD Calendar
40014,ADIP,585,Integrative Internship I,"This course is associated with, and normally represents, a prerequisite for Integrative Internship II. Integrative Internship I is designed to allow students to build on their acquired knowledge,skills, values and attitudes through interaction with a chosen education environment. The first Internship requires students to select, contact and establish a working relation with an organization which offers educational activities to adults in their community. A supervised Special Project for an adult education provider is initiated. At this stage, the emphasis is on observation and information gathering, in preparation for taking on a more active role in Integrative Internship II."
40015,ADIP,586,Integrative Internship II,"This internship is designed to extend the student?s personal aims and philosophy of adult education arrived at in Integrative Internship I by completing a supervised Special Project in an approved adult education facility, where supervision is provided by a member of a host institution in consultation with the professor."
46451,ADIP,589,ADVANCED TOPICS IN ADED,Please see GRAD Calendar
360,ADMI,201,Introduction to Administration (Administered by the Finance Department),"This course is intended to develop a basic understanding of the role of administration in our society. The course includes a survey of different forms of organizations, their social and legal responsibilities, and how they function to achieve their goals.

NOTE: JMSB students may not take this course for credit.
NOTE: This course does not count towards the requirements for the Minor in Business Studies.


"
361,ADMI,202,Perspective on Canadian Business (Administered by the Finance Department),"This course is designed to review the historical development of business in Canada and to examine the relationships between the firm (management) and the owners, the employees, the customers, the government, and the community. Further, it studies some of the problems facing Canadian business today: the dehumanizing aspect, pollution problems, large vs. small firms, foreign ownership, and competition.

NOTE: JMSB students may not take this course for credit.
NOTE: Students who have received credit for this course may not take MANA 369 for credit.
NOTE: This course does not count towards the requirements for the Minor in Business Studies.

"
384,ADMI,543,SPECIAL TOPICS-INSTIT ADMIN,Please see GRAD Calendar
409,ADMI,810,ORGANIZATIONAL BEHAVIOUR,Please see GRAD Calendar
428,ADMI,811,ORGANIZATIONAL BEHAVIOUR,Please see GRAD Calendar
448,ADMI,820,DESC & M.I.S.,Please see GRAD Calendar
505,ADMI,830,MARKETING,Please see GRAD Calendar
522,ADMI,831,MARKETING,Please see GRAD Calendar
547,ADMI,840,FINANCE,Please see GRAD Calendar
586,ADMI,850,BUSINESS POLICY & STRATEGY,Please see GRAD Calendar
605,ADMI,851,BUSINESS POLICY & STRATEGY,Please see GRAD Calendar
627,ADMI,852,BUSINESS POLICY/STRATEGY,Please see GRAD Calendar
649,ADMI,853,BUSINESS POLICY AND STRATEGY,Please see GRAD Calendar
650,ADMI,860,ACCOUNTANCY & CONTROL,Please see GRAD Calendar
679,ADMI,889,COMPREHENSIVE EXAMINATIONS,Please see GRAD Calendar
680,ADMI,890,THESIS,Please see GRAD Calendar
46452,ADMI,800,BUSINESS ECONOMICS,Please see GRAD Calendar
46453,ADMI,821,DESC & M.I.S.,Please see GRAD Calendar
46454,ADMI,822,DESC & M.I.S.,Please see GRAD Calendar
46455,ADMI,832,MARKETING,Please see GRAD Calendar
46456,ADMI,841,FINANCE,Please see GRAD Calendar
46457,ADMI,861,ACCOUNTANCY & CONTROL,Please see GRAD Calendar
48415,ADMI,855,BUSINESS POLICY/STRATEGY,Please see Graduate Calendar
48416,ADMI,856,BUSINESS POLICY/STRATEGY,Please see Graduate Calendar
48417,ADMI,812,ORGANIZATIONAL BEHAVIOUR,Please see Graduate Calendar
48418,ADMI,813,ORGANIZATIONAL BEHAVIOUR,Please see Graduate Calendar
48419,ADMI,815,ORGANIZATIONAL BEHAVIOUR,Please see Graduate Calendar
48909,ADMI,814,ORGANIZATIONAL BEHAVIOUR,Please see Graduate Calendar
48910,ADMI,812,ORGANIZATIONAL BEHAVIOUR,Please see Graduate Calendar
48911,ADMI,858,BUSINESS POLICY AND STRATEGY,Please see Graduate Calendar
705,AERO,417,STNDRDS/REGUL N/CERTIF N,Please see UGRD Calendar
706,AERO,431,PRINCIPLES OF AEROELASTICITY,Please see UGRD Calendar
707,AERO,462,TURBOMACHINERY+PROPULSION,Please see UGRD Calendar
708,AERO,464,AERODYNAMICS,Please see UGRD Calendar
709,AERO,465,GAS TURBINE DESIGN,Please see UGRD Calendar
710,AERO,480,FLIGHT CONTROL SYSTEMS,Please see UGRD Calendar
711,AERO,482,AVIONIC NAVIGATION SYSTEMS,Please see UGRD Calendar
712,AERO,483,INTEGR. OF AVIONIC SYSTEMS,Please see UGRD Calendar
713,AERO,486,AIRCRAFT STRESS ANALYSIS,Please see UGRD Calendar
714,AERO,487,DESIGN OF AIRCRAFT STRUCTURE,Please see UGRD Calendar
25371,AERO,485,INTRO. TO SPACE SYSTEMS,Please see UGRD Calendar
47199,AERO,201,Introduction to Flight and Aerospace System,"Prerequisite: ENGR 213 previously or concurrently. Introduction to flight vehicles in the atmosphere and in space; elements of aerodynamics, airfoils and wings; aerospace technologies including structures, materials and propulsion systems; elements of aircraft performance; basic principles of flight stability, control and systems integration; aspects of aircraft conceptual design. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.
NOTE: Permission of the Department is required for non?Aerospace Engineering students."
47200,AERO,371,Modelling and Control Systems,"Prerequisite: PHYS 205; ENGR 213, 243; ENGR 311 or ELEC 364 or ELEC 342 previously or concurrently. Definition and classification of dynamic systems and components. Modelling of system components using ordinary differential equations: mechanical, electrical, electromechanical, and electrohydraulic subsystems in an airplane. Modelling of systems using transfer function models, block diagrams and signal flow graphs. Linearization of non-linear systems. Transient and steady-state characteristics of dynamic systems. Systems analyses using time domain methods, root-locus methods, and frequency response methods. Characteristics and performance of linear feedback control systems. System stability. Proportional, integral and derivative controllers. Simulation technique using Matlab/Simulink. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.
NOTE: Students who have received credit for ELEC 372 or MECH 371 may not take this course for credit."
47218,AERO,485,Introduction to Space Systems,"Prerequisite: MECH 351, 361. Classification of space propulsion systems; Tsiolkovskj?s equation; ideal rocket and nozzle design; flight performance; basic orbital mechanics; chemical propellant rocket performance analysis; fundamentals of liquid and solid propellant rocket motors; electric, solar, fusion thruster. Lectures: three hours per week.
NOTE: Students who have received credit for MECH 485 or for this topic under a MECH 498 number may not take this course for credit."
48354,AERO,390,AEROSPACE ENGINEERING DESIGN PROJECT,"Prerequisite: AERO 290; 371; ENCS 282. This course focuses on general design
philosophy and the design process. The following topics are covered: design factors such as product safety, reliability, life cycle costs and manufacturability; design in the aerospace context (vehicle and system design with regard to mission requirements, configuration, sizing, loads, etc.); mathematical modelling, analysis, and validation; introduction to Computer-Aided Design and Engineering (CAD and CAE); design documentation. A teambased project in which an aerospace system/subsystem is designed, implemented, documented and presented is an intrinsic part of this course. Lectures: three hours per week. Tutorial: two hours per week."
48356,AERO,446,AEROSPACE VEHICLE PERFORMANCE,"Prerequisite: MECH 361. Introduction to fixed-wing aircraft operation. Flying environment and its measurement by aircraft instrumentation. Computation of lift and drag, effects of viscosity and compressibility. Review of piston, turboprop, turbojet and turbofan power plants. Operational performance of aircraft in climb, cruise, descent and on ground. Advanced aircraft systems. Operational considerations in aircraft design. Projects on selected topics. Lectures: three hours per week. Tutorial: one hour per week."
48357,AERO,455,COMPUTATIONAL FLUID DYNAMICS FOR AEROSPACE APPLICATIONS,"Prerequisite: ENGR 311, 391; MECH 361. Introduction to computational methods in fluid dynamics using commercial CFD codes; aspects of geometry modelling, structured and unstructured grid generation, solution strategy, and post-processing; conversion of CAD to CFD models; an overview of basic numerical methods for the Navier-Stokes equations with emphasis on accuracy evaluation and efficiency. Elements of turbulence closure modelling. User-defined function for customized physical models into commercial CFD codes. Lectures: three hours per week. Laboratory: three hours per week, alternate weeks."
48358,AERO,481,MATERIALS ENGINEERING FOR AEROSPACE,"Prerequisite: MECH 221 or MIAE 221. Different types of materials used in aerospace. Metals, composites, ceramics, polymers. Failure prediction and prevention. Modes of material failure, fracture, fatigue, creep, corrosion, impact. Effect of high temperature and multiaxial loadings. High temperature materials. Cumulative damage in fatigue and creep. Materials selection. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.
NOTE: Students who have received credit for MECH 321 or 481 may not take this course for credit."
48359,AERO,490,CAPSTONE AEROSPACE ENGINEERING DESIGN PROJECT,"Prerequisite: 75 credits in the program; AERO 390; ENGR 301. This course includes a supervised design, simulation or experimental capstone design project including a preliminary project proposal with complete project plan and a technical report at the end of the fall term; a final report by the group and presentation at the end of the winter term. Lectures: one hour per week, one term. Equivalent laboratory time: three hours per week, two terms.
NOTE: Students will work in groups under direct supervision of a faculty member.
NOTE: With permission of the Department, students may enroll in MECH 490 instead of AERO 490 on the condition that they choose to complete an aerospace-oriented project."
49313,AERO,290,INTRODUCTION TO AIRCRAFT DESIGN,"Prerequisite: AERO 201; ENCS 282 previously or concurrently. Students taking this course will work as part of a multidisciplinary team to solve an assigned aerospace conceptual design problem. The course provides introductory, design?related knowledge on aerospace design topics including structural layout, powerplant integration, integrated systems requirements (such as avionics, electrical, flight controls, hydraulic, fuel, air, pressurization) and preliminary performance predictions. Lectures instruct students on the conceptual design process; aircraft sizing including take?off weight, empty weight and fuel?fraction estimates; mission analysis and trade studies; airfoil selection; constraint diagrams for thrust?to?weight and wing loading estimation; fuselage layout, engines and control surface sizing; structural and systems layout; introductory stability, control and performance; and cost analysis methods. Lectures: three hours per week. Tutorial: two hours per week."
49708,AERO,472,Aircraft Pneumatic and Electrical Power Systems,"Prerequisite: AERO 201; ENGR 361. This course focuses on design principles and sizing of the following aircraft systems: electrical power system, auxiliary and emergency power systems, environmental control system, ice and rain protection system, and pneumatic power system. Traditional and new technology implementations in aircraft, helicopters and other aerospace vehicles
are considered. Associated standards and regulations are described. Principles of architecture development and integration, as well as engineering tools for system sizing and simulation, are covered. A project is required, including a laboratory component. Lectures: three hours per week. Laboratory: 12 hours total."
49711,AERO,471,Aircraft Hydro?Mechanical and Fuel Systems,"Prerequisite: AERO 201 or permission of the Department. This course focuses on design principles and sizing of the following aircraft systems: hydraulic system, primary and secondary flight control actuation systems, landing gear systems, and fuel system. Traditional and new technology implementations in aircraft, helicopters and other aerospace vehicles are considered. Associated standards and regulations are described. Principles of architecture development and integration, as well as engineering tools for system sizing and simulation, are covered. Lectures: three hours per week. Laboratory: 12 hours total"
715,AHSC,215,Historical Foundations of Leisure and Recreation,"This course offers a broad overview of leisure and recreation throughout history, highlighting selected major patterns and important similarities or differences among different historical eras Students learn about threaded themes related to leisure and recreation that have existed throughout history, as well as the origin and development of leisure/recreation-related systems, such as leisure services and leisure studies, emphasizing Canadian and North American perspectives The historical roots of leisure, the conditions in society that have affected leisure, the responses to those conditions, and the role of leisure in contemporary life as shaped by historical events are investigated

NOTE: Students who have received credit for HIST 215 or for this topic under an AHSC 298 number may not take this course for credit



"
716,AHSC,220,LIFESPAN GROWTH&DEVELOP.,"This survey course provides an interdisciplinary overview of biopsychosocial patterns of development over the lifespan, from
conception to death. Students learn about theories of human development, with an emphasis on typical normative development,
and on application of theory to practice. The course material covers key issues in development, major milestones of development,
and major life events.

NOTE: Students who have received credit for PSYC 230 may not take this course for credit.

NOTE: Students registered in a Psychology program may not take this course for credit."
717,AHSC,225,Principles of Experiential & Action Learning & the Reflective Practitioner,"This course introduces students to the ways in which theories of learning (including
experiential, transformational, integral and action learning) relate to and can inform efforts to bring improvement and change to individuals and groups. The course explores the importance of personal engagement in learning, and illustrates how ongoing reflection strengthens a learning process. It enables students to create clear personal visions, set relevant learning goals, create and organize related activities, and assess their progress. The course provides learning process models and ways to identify personal stylistic differences which affect personal learning progress and strategies."
